"model","target_population","target_sum","alliance_target","horde_target","total_add_deficit_against_stock","supported_pairs_with_zero_target","unsupported_pairs_with_nonzero_target"
"equal_pair_comparison","50","50","25","25","0","2","0"
"class_rarity_race_faction_balanced","50","50","25","25","0","2","0"
"equal_pair_comparison","100","100","50","50","0","0","0"
"class_rarity_race_faction_balanced","100","100","50","50","0","0","0"
"equal_pair_comparison","500","500","250","250","2","0","0"
"class_rarity_race_faction_balanced","500","500","250","250","7","0","0"
"equal_pair_comparison","1000","1000","500","500","42","0","0"
"class_rarity_race_faction_balanced","1000","1000","500","500","46","0","0"
