"account_type","guid","race","class","level","primary_profession_count","primary_professions","secondary_profession_count","secondary_professions","riding_skill"
"PLAYER","4501","1","2","5","0","NULL","0","NULL","NULL"
"PLAYER","26896","1","2","2","0","NULL","0","NULL","NULL"
"PLAYER","26897","9","4","10","1","Mining:43/75","3","First Aid:1/75;Survival:16/75;Cooking:1/75","NULL"
"PLAYER","26898","10","4","1","0","NULL","0","NULL","NULL"
"PLAYER","26899","4","4","12","0","NULL","0","NULL","NULL"
"PLAYER","26900","7","1","11","0","NULL","0","NULL","NULL"
"PLAYER","26901","3","2","11","0","NULL","0","NULL","NULL"
"PLAYER","26902","6","7","16","0","NULL","0","NULL","NULL"
"PLAYER","26939","4","4","1","0","NULL","0","NULL","NULL"
